ticker,security_type,name,valid_from,valid_to
AABA,EQUITY,Altaba Inc,1996-04-12,2019-11-06
AAL,EQUITY,American Airlines Group Inc,2005-09-27,
AAMRQ,EQUITY,Amr Corp,2001-01-02,2013-12-17
AAP,EQUITY,Advance Auto Parts Inc,2001-11-29,
ABMD,EQUITY,Abiomed Inc,1987-07-30,2023-01-03
ACAS,EQUITY,American Capital Ltd,1997-09-02,2017-01-11
ACS,EQUITY,AFFILIATED COMPUTER SERVICES INC,2010-02-05,2011-02-14
AET,EQUITY,Aetna Inc,1977-01-03,2018-11-28
AGN,EQUITY,Allergan Inc,1989-06-22,2020-05-08
AIT,EQUITY,Applied Industrial Technologies Inc,1984-09-07,
AIV,EQUITY,Apartment Investment & Management Co. - Class A,1994-07-22,
AKS,EQUITY,AK Steel Holding Corp,1994-03-30,2020-03-13
ALK,EQUITY,Alaska Air Group Inc,1983-01-03,
ALXN,EQUITY,Alexion Pharmaceuticals Inc,1996-02-28,2021-07-28
AMCC,EQUITY,Applied Micro Circuits Corp,2001-01-02,2017-02-03
AMG,EQUITY,Affiliated Managers Group Inc,1997-11-21,
AMTM,EQUITY,Amentum Holdings Inc,2024-09-24,
AN,EQUITY,Autonation Inc,1992-03-03,
ANDV,EQUITY,Andeavor Corp,1983-04-06,2018-09-28
ANF,EQUITY,Abercrombie & Fitch Co. - Class A,1996-09-26,
ANRZQ,EQUITY,Alpha Natural Resources Inc,2005-02-15,2016-07-27
ANSS,EQUITY,Ansys Inc,1996-06-21,
ARG,EQUITY,Airgas Inc,1986-12-22,2016-05-31
ARNC,EQUITY,Arconic Corporation,2020-04-01,2023-08-17
ASH,EQUITY,Ashland Inc,1983-04-06,
ATI,EQUITY,ATI Inc,1999-11-29,
ATVI,EQUITY,Activision Blizzard Inc,1993-10-25,2023-10-13
AVP,EQUITY,Avon Products Inc,1972-06-01,2020-01-03
AYE,EQUITY,ALLEGHENY ENERGY INC,2006-12-28,2011-11-30
AYI,EQUITY,Acuity Brands Inc,2001-12-03,
BBBY,EQUITY,Beyond Inc,2002-05-30,
BBT,EQUITY,Beacon Financial Corp,2000-06-28,
BBWI,EQUITY,Bath & Body Works Inc,1985-07-01,
BC,EQUITY,Brunswick Corp,1981-12-31,
BCO,EQUITY,Brink`s Company,1996-01-03,
BCR,EQUITY,C.R. Bard Inc,1983-04-06,2017-12-29
BGG,EQUITY,Briggs Stratton Corp,1984-09-07,2020-07-20
BHF,EQUITY,Brighthouse Financial Inc,2017-07-17,
BIO,EQUITY,Bio-Rad Laboratories Inc - Class A,1980-02-27,
BJS,EQUITY,BJ SERVICES CO,2006-12-28,2011-05-09
BMS,EQUITY,Bemis Company Inc,1984-09-07,2019-06-28
BRCM,EQUITY,Broadcom Corp,2016-01-04,2016-02-09
BRL,EQUITY,BARR PHARMACEUTICALS INC,2006-12-28,2008-12-22
BVSN,EQUITY,BroadVision Inc,1996-06-21,2020-05-18
BWA,EQUITY,BorgWarner Inc,1993-08-13,
BXLT,EQUITY,Baxalta Inc,2015-06-30,2016-06-16
CAL,EQUITY,Caleres Inc,1984-09-07,
CAR,EQUITY,Avis Budget Group Inc,1990-01-12,
CCEP,EQUITY,Coca-Cola Europacific Partners Plc,1986-11-24,
CCK,EQUITY,Crown Holdings Inc,1984-12-18,
CCU,EQUITY,Compania Cervecerias Unidas S.A.,2001-01-02,
CE,EQUITY,Celanese Corp - Series A,2005-01-21,
CELG,EQUITY,Celgene Corp,1990-03-26,2019-11-22
CERN,EQUITY,Cerner Corp,1990-03-26,2022-09-08
CFN,EQUITY,CareFusion Corp,2009-08-21,2015-03-17
CHK,EQUITY,Chesapeake Energy Corp,1993-02-16,2024-10-04
CLF,EQUITY,Cleveland-Cliffs Inc,1987-11-05,
CMA,EQUITY,Comerica Inc,1990-03-26,2026-01-30
CMCSK,EQUITY,Comcast Corp,1990-03-26,2015-12-21
CNW,EQUITY,Conway Inc,1980-01-02,2015-10-30
CNX,EQUITY,CNX Resources Corp,1999-04-30,
COL,EQUITY,Rockwell Collins Inc,2001-06-15,2018-11-26
COTY,EQUITY,Coty Inc - Class A,2013-06-13,
COV,EQUITY,Covidien plc,2007-06-14,2015-02-03
CPGX,EQUITY,Columbia Pipeline Group Inc,2015-07-01,2016-07-01
CPRI,EQUITY,Capri Holdings Ltd,2011-12-15,
CPWR,EQUITY,Ocean Thermal Energy Corp,1992-12-16,
CRR,EQUITY,CARBO Ceramics Inc,1996-04-23,2019-12-20
CSR,EQUITY,Centerspace,1997-10-17,
CSRA,EQUITY,CSRA Inc,2015-11-30,2018-04-04
CTB,EQUITY,Cooper Tire & Rubber Company,1987-11-05,2021-06-08
CTLT,EQUITY,Catalent Inc,2014-07-31,2024-12-18
CTRA,EQUITY,Coterra Energy Inc,1990-02-08,2026-05-06
CTXS,EQUITY,Citrix Systems Inc,1995-12-08,2022-11-02
CVC,EQUITY,Cablevision Systems Corp,2016-01-04,2016-06-21
CVG,EQUITY,Convergys Corp,1998-08-13,2018-12-14
CVH,EQUITY,Coventry Health Care Inc,2006-12-28,2013-10-17
CXO,EQUITY,Concho Resources Inc,2007-08-03,2021-01-15
CZR,EQUITY,Caesars Entertainment Inc,2014-09-22,
DAY,EQUITY,Dayforce Inc,2018-04-26,2026-02-03
DDR,EQUITY,DDR Corp,1993-02-02,2018-10-11
DDS,EQUITY,Dillard`s Inc - Class A,1989-06-30,
DFS,EQUITY,Discover Financial Services,2007-06-14,2025-05-16
DISCA,EQUITY,,2022-04-06,2022-09-16
DISCK,EQUITY,Warner Bros. Discovery Inc - Series C,2008-09-18,2022-09-16
DISH,EQUITY,Dish Network Corp - Class A,1995-06-21,2024-01-09
DLX,EQUITY,Deluxe Corp,1987-07-23,
DNR,EQUITY,Denbury Resources Inc,1995-09-06,2020-07-30
DRE,EQUITY,Duke Realty Corp,1987-11-05,2022-10-03
DXC,EQUITY,DXC Technology Company,2017-02-01,
ECHO,EQUITY,Echo Global Logistics Inc,2009-10-02,
EMN,EQUITY,Eastman Chemical Company,1993-12-14,
ENPH,EQUITY,Enphase Energy Inc,2012-03-30,
EP,EQUITY,Empire Petroleum Corporation,2011-02-23,
EPAM,EQUITY,EPAM Systems Inc,2012-02-08,
ESRX,EQUITY,Express Scripts Holding Company,1992-06-09,2018-12-20
ETFC,EQUITY,E TRADE Financial Corp,1996-08-16,2020-10-02
ETSY,EQUITY,Etsy Inc,2015-04-16,
EVHC,EQUITY,Envision Healthcare Holdings Inc,2013-08-14,2018-12-14
FCN,EQUITY,FTI Consulting Inc,1996-05-09,
FCPT,EQUITY,Four Corners Property Trust Inc,2015-11-10,
FDO,EQUITY,Family Dollar Stores Inc,1985-02-25,2015-07-13
FHN,EQUITY,First Horizon Corporation,1990-03-26,
FL,EQUITY,Foot Locker Inc,1970-01-02,
FLEX,EQUITY,Flex Ltd,1994-03-18,
FLIR,EQUITY,Flir Systems Inc,1993-06-22,2021-05-14
FLR,EQUITY,Fluor Corporation,2000-12-01,
FLS,EQUITY,Flowserve Corp,1990-03-26,
FLT,EQUITY,Fleetcor Technologies Inc,2010-12-15,
FMC,EQUITY,FMC Corp,1985-07-01,
FMCC,EQUITY,Federal Home Loan Mortgage Corp,1988-12-02,
FNMA,EQUITY,Federal National Mortgage Association,1977-01-03,
FOSL,EQUITY,Fossil Group Inc,1993-04-08,
FRX,EQUITY,Forest Laboratories Inc,1988-04-19,2014-07-01
FTI,EQUITY,TechnipFMC plc,2001-06-14,
FWLT,EQUITY,Foster Wheeler AG,1972-06-01,2014-12-03
GAS,EQUITY,AGL Resources Inc,1973-05-03,2016-07-01
GGP,EQUITY,General Growth Properties Inc,1993-04-08,2018-08-28
GHC,EQUITY,Graham Holdings Co. - Class B,1990-01-24,
GMCR,EQUITY,Green Mountain Coffee Roasters Inc,2001-01-12,2016-03-04
