ticker,security_type
NVDA,EQUITY
AAPL,EQUITY
MSFT,EQUITY
AMZN,EQUITY
GOOGL,EQUITY
AVGO,EQUITY
GOOG,EQUITY
META,EQUITY
MU,EQUITY
TSLA,EQUITY
BRK.B,EQUITY
JPM,EQUITY
LLY,EQUITY
AMD,EQUITY
XOM,EQUITY
INTC,EQUITY
JNJ,EQUITY
V,EQUITY
WMT,EQUITY
AMAT,EQUITY
LRCX,EQUITY
CSCO,EQUITY
CAT,EQUITY
COST,EQUITY
MA,EQUITY
ABBV,EQUITY
BAC,EQUITY
GE,EQUITY
UNH,EQUITY
PG,EQUITY
CVX,EQUITY
GS,EQUITY
HD,EQUITY
NFLX,EQUITY
KLAC,EQUITY
ORCL,EQUITY
KO,EQUITY
PLTR,EQUITY
SNDK,EQUITY
MRK,EQUITY
GEV,EQUITY
PM,EQUITY
TXN,EQUITY
MS,EQUITY
WFC,EQUITY
RTX,EQUITY
C,EQUITY
IBM,EQUITY
WDC,EQUITY
LIN,EQUITY
STX,EQUITY
PANW,EQUITY
QCOM,EQUITY
ADI,EQUITY
MCD,EQUITY
APH,EQUITY
PEP,EQUITY
VZ,EQUITY
AMGN,EQUITY
AXP,EQUITY
TJX,EQUITY
DIS,EQUITY
NEE,EQUITY
BA,EQUITY
TMO,EQUITY
CRWD,EQUITY
ANET,EQUITY
ETN,EQUITY
SCHW,EQUITY
T,EQUITY
GILD,EQUITY
ABT,EQUITY
UNP,EQUITY
BLK,EQUITY
DE,EQUITY
PFE,EQUITY
UBER,EQUITY
CRM,EQUITY
HON,EQUITY
WELL,EQUITY
ISRG,EQUITY
BKNG,EQUITY
GLW,EQUITY
COP,EQUITY
PLD,EQUITY
APP,EQUITY
SPGI,EQUITY
CVS,EQUITY
COF,EQUITY
DELL,EQUITY
LOW,EQUITY
VRT,EQUITY
PGR,EQUITY
PH,EQUITY
CB,EQUITY
VRTX,EQUITY
MO,EQUITY
NEM,EQUITY
SBUX,EQUITY
HWM,EQUITY
BMY,EQUITY
DHR,EQUITY
LMT,EQUITY
EQIX,EQUITY
PWR,EQUITY
CDNS,EQUITY
TT,EQUITY
SYK,EQUITY
SO,EQUITY
BNY,EQUITY
MDT,EQUITY
NOW,EQUITY
CMI,EQUITY
FCX,EQUITY
DUK,EQUITY
ACN,EQUITY
MCK,EQUITY
PNC,EQUITY
BX,EQUITY
GD,EQUITY
CME,EQUITY
FTNT,EQUITY
USB,EQUITY
SNPS,EQUITY
ADP,EQUITY
JCI,EQUITY
WMB,EQUITY
MAR,EQUITY
ELV,EQUITY
TMUS,EQUITY
CEG,EQUITY
AMT,EQUITY
CSX,EQUITY
EMR,EQUITY
MMM,EQUITY
HOOD,EQUITY
CMCSA,EQUITY
ADBE,EQUITY
HLT,EQUITY
WM,EQUITY
MRSH,EQUITY
MDLZ,EQUITY
UPS,EQUITY
ICE,EQUITY
RCL,EQUITY
SLB,EQUITY
ROST,EQUITY
NXPI,EQUITY
CI,EQUITY
INTU,EQUITY
TDG,EQUITY
ORLY,EQUITY
DDOG,EQUITY
